Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
1,2,1,0,0,4,7.415501800000129,-83.5,10,0.26,orientation,size,color,0.30000000000000004,20.0,7,female,0
2,2,1,2,0,4,3.4496761999998853,87.5,13,0.1,orientation,size,color,0.30000000000000004,20.0,7,female,0
3,2,0,3,0,4,2.4332305999996606,69.5,7,0.30000000000000004,orientation,size,color,0.30000000000000004,20.0,7,female,0
4,2,1,2,0,4,2.3001752999998644,20.0,21,0.14,orientation,size,color,0.30000000000000004,20.0,7,female,0
5,2,0,0,1,4,4.000670399999763,-25.0,5,0.22000000000000003,orientation,size,color,0.30000000000000004,20.0,7,female,0
6,2,0,0,1,4,3.1341787999999724,-34.0,16,0.14,orientation,size,color,0.30000000000000004,20.0,7,female,0
7,2,1,1,1,4,2.116422099999909,-47.5,12,0.3400000000000001,orientation,size,color,0.30000000000000004,20.0,7,female,0
8,2,1,0,0,4,1.1506713999997373,-34.0,8,0.18000000000000002,orientation,size,color,0.30000000000000004,20.0,7,female,0
9,2,1,0,0,4,2.0335942000001523,-83.5,16,0.14,orientation,size,color,0.30000000000000004,20.0,7,female,0
10,2,2,0,0,4,2.7658989000001384,-88.0,7,0.26,orientation,size,color,0.30000000000000004,20.0,7,female,0
11,2,1,0,0,4,3.533574000000044,-2.5,14,0.18000000000000002,orientation,size,color,0.30000000000000004,20.0,7,female,0
12,2,1,1,1,4,1.8490805000001274,-47.5,17,0.38,orientation,size,color,0.30000000000000004,20.0,7,female,0
13,2,0,0,1,4,1.500341699999808,-47.5,7,0.26,orientation,size,color,0.30000000000000004,20.0,7,female,0
14,2,1,0,0,4,1.1001679999999396,-65.5,14,0.1,orientation,size,color,0.30000000000000004,20.0,7,female,0
15,2,0,0,1,4,1.2837381999997888,-47.5,11,0.22000000000000003,orientation,size,color,0.30000000000000004,20.0,7,female,0
16,2,0,1,0,4,1.217674999999872,-79.0,4,0.30000000000000004,orientation,size,color,0.30000000000000004,20.0,7,female,0
17,2,2,1,0,4,1.6322299000003113,11.0,1,0.30000000000000004,orientation,size,color,0.30000000000000004,20.0,7,female,0
18,2,0,2,0,4,3.7837369999997463,83.0,1,0.1,orientation,size,color,0.30000000000000004,20.0,7,female,0
19,2,3,1,0,4,2.0317408999999316,2.0,4,0.30000000000000004,orientation,size,color,0.30000000000000004,20.0,7,female,0
20,1,0,1,0,2,2.8420081000003847,24.5,24,0.42000000000000004,orientation,size,color,0.30000000000000004,20.0,7,female,0
21,1,0,0,1,2,1.8419740999997885,-74.5,19,0.38,orientation,size,color,0.30000000000000004,20.0,7,female,0
22,1,0,0,1,2,1.8845619000003353,-29.5,8,0.4600000000000001,orientation,size,color,0.30000000000000004,20.0,7,female,0
23,1,0,0,1,2,0.7665729000000283,-11.5,11,0.22000000000000003,orientation,size,color,0.30000000000000004,20.0,7,female,0
24,1,1,1,1,2,1.6835817999999563,29.0,17,0.14,orientation,size,color,0.30000000000000004,20.0,7,female,0
25,1,1,1,1,2,3.8842540999994526,20.0,2,0.4600000000000001,orientation,size,color,0.30000000000000004,20.0,7,female,0
