Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
1,2,0,0,1,4,4.599640500000078,51.5,3,0.18000000000000002,color,size,orientation,0.26,-11.5,5,female,0
2,2,0,3,0,4,2.0337768999997934,33.5,24,0.26,color,size,orientation,0.26,-11.5,5,female,0
3,2,1,1,1,4,5.599764799999775,69.5,11,0.30000000000000004,color,size,orientation,0.26,-11.5,5,female,0
4,2,3,1,0,4,1.8001939000000675,-29.5,2,0.42000000000000004,color,size,orientation,0.26,-11.5,5,female,0
5,2,3,2,0,4,2.249609800000144,-25.0,14,0.14,color,size,orientation,0.26,-11.5,5,female,0
6,2,1,1,1,4,1.9330758999999489,78.5,2,0.38,color,size,orientation,0.26,-11.5,5,female,0
7,2,0,0,1,4,6.749716900000294,47.0,0,0.14,color,size,orientation,0.26,-11.5,5,female,0
8,2,2,3,0,4,1.682869799999935,-65.5,24,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
9,2,1,1,1,4,2.5155910999997104,87.5,3,0.26,color,size,orientation,0.26,-11.5,5,female,0
10,2,3,1,0,4,3.41776179999988,-34.0,5,0.38,color,size,orientation,0.26,-11.5,5,female,0
11,3,3,7,0,8,12.448919899999964,42.5,24,0.38,color,size,orientation,0.26,-11.5,5,female,0
12,3,4,6,0,8,1.7331331999998838,-88.0,21,0.26,color,size,orientation,0.26,-11.5,5,female,0
13,1,0,1,0,2,3.2597387999999228,6.5,13,0.14,color,size,orientation,0.26,-11.5,5,female,0
14,1,0,1,0,2,5.674171599999681,15.5,21,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
15,1,0,1,0,2,1.2739701000000423,-79.0,15,0.14,color,size,orientation,0.26,-11.5,5,female,0
16,1,1,0,0,2,1.6920060999996167,6.5,5,0.42000000000000004,color,size,orientation,0.26,-11.5,5,female,0
17,1,0,0,1,2,2.7760628999999426,15.5,0,0.42000000000000004,color,size,orientation,0.26,-11.5,5,female,0
18,1,0,1,0,2,1.4509487000000263,-29.5,22,0.26,color,size,orientation,0.26,-11.5,5,female,0
19,1,0,1,0,2,4.092468199999985,60.5,16,0.1,color,size,orientation,0.26,-11.5,5,female,0
20,1,1,0,0,2,9.491869599999973,69.5,2,0.22000000000000003,color,size,orientation,0.26,-11.5,5,female,0
21,1,0,0,1,2,1.2240305999998782,56.0,9,0.18000000000000002,color,size,orientation,0.26,-11.5,5,female,0
22,1,0,0,1,2,2.91716869999982,69.5,6,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
23,1,0,0,1,2,3.833978400000433,-29.5,1,0.42000000000000004,color,size,orientation,0.26,-11.5,5,female,0
24,1,1,1,1,2,2.4508616000002803,-65.5,22,0.22000000000000003,color,size,orientation,0.26,-11.5,5,female,0
25,1,1,1,1,2,2.7168736999997236,20.0,14,0.1,color,size,orientation,0.26,-11.5,5,female,0
26,1,0,1,0,2,1.6007398000001558,15.5,17,0.3400000000000001,color,size,orientation,0.26,-11.5,5,female,0
27,1,0,0,1,2,1.641825400000016,2.0,8,0.38,color,size,orientation,0.26,-11.5,5,female,0
28,1,0,0,1,2,1.0341123999996853,-38.5,6,0.18000000000000002,color,size,orientation,0.26,-11.5,5,female,0
29,1,1,1,1,2,2.617637399999694,29.0,24,0.26,color,size,orientation,0.26,-11.5,5,female,0
30,1,1,0,0,2,2.033435300000292,65.0,11,0.26,color,size,orientation,0.26,-11.5,5,female,0
31,2,2,0,0,4,6.715302900000097,42.5,11,0.22000000000000003,color,size,orientation,0.26,-11.5,5,female,0
32,2,2,3,0,4,6.016491500000029,-34.0,19,0.30000000000000004,color,size,orientation,0.26,-11.5,5,female,0
33,2,1,0,0,4,2.049898799999937,87.5,8,0.14,color,size,orientation,0.26,-11.5,5,female,0
34,2,0,0,1,4,2.348049899999751,69.5,10,0.14,color,size,orientation,0.26,-11.5,5,female,0
35,2,0,3,0,4,1.7169252999997298,87.5,15,0.26,color,size,orientation,0.26,-11.5,5,female,0
36,2,0,0,1,4,4.431873900000028,-34.0,3,0.14,color,size,orientation,0.26,-11.5,5,female,0
37,2,0,0,1,4,0.9005942000003415,-16.0,8,0.1,color,size,orientation,0.26,-11.5,5,female,0
38,2,3,1,0,4,1.2505949000001237,-74.5,11,0.3400000000000001,color,size,orientation,0.26,-11.5,5,female,0
39,3,2,6,0,8,1.6991798999997627,-38.5,13,0.26,color,size,orientation,0.26,-11.5,5,female,0
40,3,1,6,0,8,8.948785999999927,-34.0,23,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
41,3,1,1,1,8,1.9320219000001089,29.0,2,0.18000000000000002,color,size,orientation,0.26,-11.5,5,female,0
42,3,6,3,0,8,3.3335535999999593,74.0,8,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
43,1,0,1,0,2,22.92530910000005,15.5,16,0.14,color,size,orientation,0.26,-11.5,5,female,0
44,1,1,1,1,2,1.542112200000247,-43.0,18,0.14,color,size,orientation,0.26,-11.5,5,female,0
45,1,1,0,0,2,2.5502870000000257,-43.0,7,0.22000000000000003,color,size,orientation,0.26,-11.5,5,female,0
46,1,0,0,1,2,6.857360499999686,-29.5,10,0.3400000000000001,color,size,orientation,0.26,-11.5,5,female,0
47,1,1,1,1,2,1.4011414000001423,15.5,17,0.26,color,size,orientation,0.26,-11.5,5,female,0
48,1,0,0,1,2,38.88296110000056,11.0,3,0.30000000000000004,color,size,orientation,0.26,-11.5,5,female,0
49,1,0,0,1,2,0.9326167999997779,-65.5,8,0.42000000000000004,color,size,orientation,0.26,-11.5,5,female,0
50,1,0,1,0,2,0.31679299999996147,-43.0,22,0.22000000000000003,color,size,orientation,0.26,-11.5,5,female,0
51,1,0,1,0,2,2.6257157000000007,56.0,21,0.30000000000000004,color,size,orientation,0.26,-11.5,5,female,0
52,1,1,1,1,2,2.0905374999993,51.5,13,0.18000000000000002,color,size,orientation,0.26,-11.5,5,female,0
53,1,1,1,1,2,1.1999026000003141,29.0,23,0.3400000000000001,color,size,orientation,0.26,-11.5,5,female,0
54,1,1,0,0,2,0.8000728999995772,15.5,4,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
55,1,1,1,1,2,3.258487000000059,-74.5,23,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
56,1,1,0,0,2,2.099614599999768,-70.0,10,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
57,1,0,0,1,2,3.7747161999996024,-11.5,1,0.14,color,size,orientation,0.26,-11.5,5,female,0
58,1,0,1,0,2,1.3667765999998664,74.0,20,0.14,color,size,orientation,0.26,-11.5,5,female,0
59,1,1,1,1,2,1.2269177999996828,-20.5,20,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
60,1,1,1,1,2,0.6341598999997586,-25.0,24,0.38,color,size,orientation,0.26,-11.5,5,female,0
61,1,0,0,1,2,1.284207100000458,51.5,4,0.14,color,size,orientation,0.26,-11.5,5,female,0
62,1,1,1,1,2,1.1830823999998756,-65.5,19,0.14,color,size,orientation,0.26,-11.5,5,female,0
63,1,1,1,1,2,3.983828000000358,83.0,21,0.18000000000000002,color,size,orientation,0.26,-11.5,5,female,0
64,1,0,1,0,2,2.0673548999993727,-70.0,16,0.22000000000000003,color,size,orientation,0.26,-11.5,5,female,0
65,1,1,0,0,2,12.240934699999343,78.5,4,0.3400000000000001,color,size,orientation,0.26,-11.5,5,female,0
66,1,0,1,0,2,5.658287600000222,20.0,17,0.30000000000000004,color,size,orientation,0.26,-11.5,5,female,0
67,1,1,1,1,2,31.875501200000144,11.0,16,0.4600000000000001,color,size,orientation,0.26,-11.5,5,female,0
