Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
1,2,0,0,1,4,7.899233300000105,-74.5,24,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
2,2,0,2,0,4,2.4840996999996605,-7.0,13,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
3,2,0,0,1,4,2.8154703000000154,-70.0,7,0.22000000000000003,orientation,size,color,0.38,-11.5,4,male,1
4,2,1,1,1,4,3.3672731000001477,-47.5,4,0.42000000000000004,orientation,size,color,0.38,-11.5,4,male,1
5,2,2,2,1,4,2.949448200000006,65.0,22,0.22000000000000003,orientation,size,color,0.38,-11.5,4,male,1
6,2,0,0,1,4,4.232242799999767,-38.5,20,0.26,orientation,size,color,0.38,-11.5,4,male,1
7,2,3,3,1,4,5.650019400000019,60.5,9,0.4600000000000001,orientation,size,color,0.38,-11.5,4,male,1
8,2,0,0,1,4,3.000906600000235,-74.5,11,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
9,2,3,3,1,4,1.817843200000425,69.5,7,0.4600000000000001,orientation,size,color,0.38,-11.5,4,male,1
10,2,1,0,0,4,3.366993999999977,-61.0,19,0.30000000000000004,orientation,size,color,0.38,-11.5,4,male,1
11,2,2,2,1,4,2.2325611000001118,83.0,7,0.30000000000000004,orientation,size,color,0.38,-11.5,4,male,1
12,2,2,2,1,4,2.683622600000035,69.5,15,0.1,orientation,size,color,0.38,-11.5,4,male,1
13,2,1,1,1,4,2.1174503000002005,-47.5,4,0.4600000000000001,orientation,size,color,0.38,-11.5,4,male,1
14,2,1,1,1,4,0.9333805000001121,-52.0,3,0.4600000000000001,orientation,size,color,0.38,-11.5,4,male,1
15,2,0,0,1,4,1.5669580000003407,-34.0,15,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
16,2,2,2,1,4,1.7670984999999746,42.5,21,0.3400000000000001,orientation,size,color,0.38,-11.5,4,male,1
17,2,0,0,1,4,2.3831420999999864,-47.5,24,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
18,2,2,2,1,4,1.7335809999999583,6.5,13,0.14,orientation,size,color,0.38,-11.5,4,male,1
19,2,3,3,1,4,1.7671656000002258,87.5,17,0.42000000000000004,orientation,size,color,0.38,-11.5,4,male,1
20,2,0,2,0,4,3.3343355000001793,-7.0,24,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
21,1,0,0,1,2,2.6074963000000935,-20.5,19,0.30000000000000004,orientation,size,color,0.38,-11.5,4,male,1
22,1,0,0,1,2,1.0345336999998835,-25.0,23,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
23,1,1,1,1,2,0.7842401999996582,47.0,24,0.3400000000000001,orientation,size,color,0.38,-11.5,4,male,1
24,1,1,1,1,2,0.9331938999998783,24.5,15,0.42000000000000004,orientation,size,color,0.38,-11.5,4,male,1
25,1,1,1,1,2,1.0166414999998779,87.5,1,0.38,orientation,size,color,0.38,-11.5,4,male,1
26,1,0,0,1,2,1.1506865999999718,-70.0,13,0.22000000000000003,orientation,size,color,0.38,-11.5,4,male,1
27,1,1,1,1,2,0.7497846999999638,42.5,4,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
28,1,1,1,1,2,1.067181100000198,74.0,11,0.1,orientation,size,color,0.38,-11.5,4,male,1
29,1,0,0,1,2,0.8672776000003068,-43.0,13,0.38,orientation,size,color,0.38,-11.5,4,male,1
30,1,1,1,1,2,1.032993499999975,15.5,20,0.3400000000000001,orientation,size,color,0.38,-11.5,4,male,1
31,1,0,0,1,2,0.8841766999998981,-56.5,21,0.14,orientation,size,color,0.38,-11.5,4,male,1
32,1,1,1,1,2,0.24922479999986535,11.0,16,0.26,orientation,size,color,0.38,-11.5,4,male,1
33,1,0,0,1,2,0.8176444000000629,-16.0,8,0.42000000000000004,orientation,size,color,0.38,-11.5,4,male,1
34,1,1,1,1,2,0.5337466000000859,6.5,6,0.1,orientation,size,color,0.38,-11.5,4,male,1
35,1,0,0,1,2,0.6338099999998121,-79.0,14,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
36,1,0,0,1,2,1.149737400000049,-29.5,5,0.3400000000000001,orientation,size,color,0.38,-11.5,4,male,1
37,1,0,0,1,2,1.0678224999996928,-20.5,20,0.1,orientation,size,color,0.38,-11.5,4,male,1
38,1,0,0,1,2,1.3164254000002984,-38.5,15,0.18000000000000002,orientation,size,color,0.38,-11.5,4,male,1
39,1,0,0,1,2,0.8659180999998171,-61.0,9,0.22000000000000003,orientation,size,color,0.38,-11.5,4,male,1
