Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
1,2,0,2,0,4,5.732125900000028,-65.5,23,0.1,color,orientation,size,0.26,-2.5,2,female,0
2,2,2,3,0,4,3.1647837999998956,33.5,13,0.42000000000000004,color,orientation,size,0.26,-2.5,2,female,0
3,2,1,2,0,4,1.8818630000000667,-29.5,18,0.22000000000000003,color,orientation,size,0.26,-2.5,2,female,0
4,1,0,0,1,2,1.0915024999999332,11.0,6,0.14,color,orientation,size,0.26,-2.5,2,female,0
5,1,1,1,1,2,1.8174063000001297,-88.0,20,0.26,color,orientation,size,0.26,-2.5,2,female,0
6,1,0,1,0,2,1.6163959999998951,24.5,20,0.4600000000000001,color,orientation,size,0.26,-2.5,2,female,0
7,1,0,0,1,2,1.7426246999998511,60.5,8,0.22000000000000003,color,orientation,size,0.26,-2.5,2,female,0
8,1,1,0,0,2,0.9164428000003682,-52.0,12,0.4600000000000001,color,orientation,size,0.26,-2.5,2,female,0
9,1,0,0,1,2,1.091681200000039,47.0,7,0.18000000000000002,color,orientation,size,0.26,-2.5,2,female,0
10,1,0,0,1,2,1.2994333000001461,-29.5,9,0.22000000000000003,color,orientation,size,0.26,-2.5,2,female,0
11,1,0,0,1,2,2.9161991000000853,-29.5,3,0.14,color,orientation,size,0.26,-2.5,2,female,0
12,1,1,0,0,2,4.867395299999771,11.0,10,0.38,color,orientation,size,0.26,-2.5,2,female,0
13,1,0,1,0,2,0.658775500000047,51.5,19,0.14,color,orientation,size,0.26,-2.5,2,female,0
14,1,0,1,0,2,1.4088722999999845,-70.0,15,0.22000000000000003,color,orientation,size,0.26,-2.5,2,female,0
15,2,1,0,0,4,0.9499058999999761,-79.0,2,0.38,color,orientation,size,0.26,-2.5,2,female,0
16,1,0,1,0,2,0.9407400000000052,83.0,15,0.30000000000000004,color,orientation,size,0.26,-2.5,2,female,0
17,1,1,0,0,2,0.8423348999999689,33.5,7,0.18000000000000002,color,orientation,size,0.26,-2.5,2,female,0
18,1,0,0,1,2,2.2760471000001417,11.0,5,0.14,color,orientation,size,0.26,-2.5,2,female,0
19,1,0,1,0,2,0.5660148000001755,-16.0,23,0.22000000000000003,color,orientation,size,0.26,-2.5,2,female,0
20,1,0,0,1,2,0.9264800999999352,47.0,11,0.38,color,orientation,size,0.26,-2.5,2,female,0
21,1,1,0,0,2,1.0677150000001348,-25.0,9,0.3400000000000001,color,orientation,size,0.26,-2.5,2,female,0
22,1,0,1,0,2,1.3583991999998943,-70.0,23,0.1,color,orientation,size,0.26,-2.5,2,female,0
23,1,1,1,1,2,1.058207399999901,-43.0,17,0.14,color,orientation,size,0.26,-2.5,2,female,0
24,1,1,0,0,2,2.3005683999999746,-43.0,3,0.22000000000000003,color,orientation,size,0.26,-2.5,2,female,0
25,1,1,1,1,2,1.1252236000000266,-83.5,13,0.14,color,orientation,size,0.26,-2.5,2,female,0
26,1,0,0,1,2,1.033208299999842,69.5,3,0.30000000000000004,color,orientation,size,0.26,-2.5,2,female,0
27,1,0,0,1,2,1.0176050000000032,42.5,0,0.42000000000000004,color,orientation,size,0.26,-2.5,2,female,0
28,1,0,0,1,2,0.6011206000002858,74.0,0,0.30000000000000004,color,orientation,size,0.26,-2.5,2,female,0
29,1,0,1,0,2,0.5505982999998196,42.5,23,0.3400000000000001,color,orientation,size,0.26,-2.5,2,female,0
30,1,0,0,1,2,1.0259621000000152,74.0,10,0.4600000000000001,color,orientation,size,0.26,-2.5,2,female,0
31,1,0,0,1,2,0.7833347000000686,-65.5,2,0.14,color,orientation,size,0.26,-2.5,2,female,0
32,1,1,1,1,2,1.2505703000001631,47.0,15,0.1,color,orientation,size,0.26,-2.5,2,female,0
33,1,1,0,0,2,0.8338592000000062,38.0,9,0.1,color,orientation,size,0.26,-2.5,2,female,0
34,1,0,0,1,2,3.191337100000055,-88.0,5,0.3400000000000001,color,orientation,size,0.26,-2.5,2,female,0
35,1,0,0,1,2,1.0834359999998924,-7.0,9,0.3400000000000001,color,orientation,size,0.26,-2.5,2,female,0
36,1,0,1,0,2,1.1334955999996055,-29.5,24,0.26,color,orientation,size,0.26,-2.5,2,female,0
37,1,1,0,0,2,1.8247258999999758,-16.0,3,0.1,color,orientation,size,0.26,-2.5,2,female,0
38,3,3,3,1,8,1.365571799999998,24.5,5,0.4600000000000001,color,orientation,size,0.26,-2.5,2,female,0
39,3,4,0,0,8,2.0836599999997816,-38.5,9,0.1,color,orientation,size,0.26,-2.5,2,female,0
40,3,3,3,1,8,0.8323249000000033,51.5,6,0.3400000000000001,color,orientation,size,0.26,-2.5,2,female,0
