Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
1,3,4,0,0,8,8.082570900000064,-70.0,7,0.3400000000000001,size,color,orientation,0.38,-16.0,9,female,0
2,3,3,0,0,8,2.4666496999998344,-65.5,7,0.30000000000000004,size,color,orientation,0.38,-16.0,9,female,0
3,3,5,0,0,8,10.93176879999919,-56.5,4,0.3400000000000001,size,color,orientation,0.38,-16.0,9,female,0
4,3,0,0,1,8,0.8655092999997578,-74.5,2,0.26,size,color,orientation,0.38,-16.0,9,female,0
5,3,0,4,0,8,3.2337429999997767,-56.5,6,0.42000000000000004,size,color,orientation,0.38,-16.0,9,female,0
6,3,1,0,0,8,7.132521900000029,-83.5,9,0.18000000000000002,size,color,orientation,0.38,-16.0,9,female,0
7,3,7,3,0,8,7.332366900000125,65.0,22,0.14,size,color,orientation,0.38,-16.0,9,female,0
8,3,0,2,0,8,6.8670836000001145,-47.5,17,0.18000000000000002,size,color,orientation,0.38,-16.0,9,female,0
9,3,2,6,0,8,3.5342124999997395,-25.0,19,0.4600000000000001,size,color,orientation,0.38,-16.0,9,female,0
10,3,3,2,0,8,3.566286699999182,-61.0,15,0.18000000000000002,size,color,orientation,0.38,-16.0,9,female,0
11,3,0,0,1,8,2.998845500000243,-61.0,0,0.1,size,color,orientation,0.38,-16.0,9,female,0
12,3,1,1,1,8,3.2503458999999566,6.5,7,0.26,size,color,orientation,0.38,-16.0,9,female,0
13,3,2,1,0,8,3.282401299999947,83.0,11,0.22000000000000003,size,color,orientation,0.38,-16.0,9,female,0
14,3,2,6,0,8,1.9828433000002406,-88.0,21,0.4600000000000001,size,color,orientation,0.38,-16.0,9,female,0
15,3,6,6,1,8,1.2323041999998168,-20.5,18,0.42000000000000004,size,color,orientation,0.38,-16.0,9,female,0
16,3,0,1,0,8,2.5168883000005735,-16.0,10,0.22000000000000003,size,color,orientation,0.38,-16.0,9,female,0
17,3,6,2,0,8,1.8825213000000076,-65.5,22,0.3400000000000001,size,color,orientation,0.38,-16.0,9,female,0
18,3,4,3,0,8,1.9996661999994103,11.0,19,0.18000000000000002,size,color,orientation,0.38,-16.0,9,female,0
19,3,3,3,1,8,0.7831826000001456,20.0,13,0.3400000000000001,size,color,orientation,0.38,-16.0,9,female,0
20,3,0,1,0,8,1.6822569999994812,78.5,2,0.22000000000000003,size,color,orientation,0.38,-16.0,9,female,0
21,3,3,3,1,8,2.3826521000000866,20.0,19,0.30000000000000004,size,color,orientation,0.38,-16.0,9,female,0
22,3,1,1,1,8,1.7000748999998905,15.5,9,0.22000000000000003,size,color,orientation,0.38,-16.0,9,female,0
23,3,6,3,0,8,1.5164149000001999,-16.0,17,0.30000000000000004,size,color,orientation,0.38,-16.0,9,female,0
24,3,0,1,0,8,2.665973300000587,47.0,9,0.30000000000000004,size,color,orientation,0.38,-16.0,9,female,0
25,3,0,1,0,8,3.465715000000273,87.5,5,0.30000000000000004,size,color,orientation,0.38,-16.0,9,female,0
26,3,0,0,1,8,1.1150109000000157,-70.0,2,0.30000000000000004,size,color,orientation,0.38,-16.0,9,female,0
27,3,3,3,1,8,2.5166087999996307,47.0,17,0.22000000000000003,size,color,orientation,0.38,-16.0,9,female,0
28,3,3,7,0,8,1.067291600000317,11.0,19,0.4600000000000001,size,color,orientation,0.38,-16.0,9,female,0
29,3,3,7,0,8,1.182535399999324,51.5,24,0.38,size,color,orientation,0.38,-16.0,9,female,0
30,3,1,0,0,8,1.7657933999998932,-79.0,5,0.30000000000000004,size,color,orientation,0.38,-16.0,9,female,0
31,2,0,0,1,4,5.6162585000001854,42.5,8,0.1,size,color,orientation,0.38,-16.0,9,female,0
32,2,0,0,1,4,2.100014999999985,24.5,2,0.26,size,color,orientation,0.38,-16.0,9,female,0
33,2,1,1,1,4,2.167534500000329,24.5,22,0.22000000000000003,size,color,orientation,0.38,-16.0,9,female,0
34,2,0,0,1,4,2.3833545999996204,78.5,11,0.18000000000000002,size,color,orientation,0.38,-16.0,9,female,0
35,2,2,2,1,4,1.8673587000002954,-65.5,1,0.4600000000000001,size,color,orientation,0.38,-16.0,9,female,0
36,2,1,1,1,4,1.900766200000362,6.5,21,0.26,size,color,orientation,0.38,-16.0,9,female,0
37,2,1,1,1,4,1.0500017000003936,47.0,22,0.30000000000000004,size,color,orientation,0.38,-16.0,9,female,0
38,2,1,1,1,4,1.367505700000038,83.0,18,0.1,size,color,orientation,0.38,-16.0,9,female,0
39,2,0,2,0,4,1.4501519999994343,20.0,10,0.42000000000000004,size,color,orientation,0.38,-16.0,9,female,0
40,1,1,0,0,2,3.02093319999949,-34.0,21,0.14,size,color,orientation,0.38,-16.0,9,female,0
41,1,1,1,1,2,1.8563234000002922,-25.0,5,0.42000000000000004,size,color,orientation,0.38,-16.0,9,female,0
42,1,0,0,1,2,1.2329745999995794,-2.5,14,0.3400000000000001,size,color,orientation,0.38,-16.0,9,female,0
43,1,1,0,0,2,0.8501924000001964,-16.0,6,0.30000000000000004,size,color,orientation,0.38,-16.0,9,female,0
