Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
51,1,1,1,1,2,1.0002705000001697,-43.0,17,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
52,1,0,0,1,2,1.4002289999998538,20.0,3,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
53,2,2,3,0,4,4.000306699999783,69.5,17,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
54,2,1,0,0,4,2.599840200000017,-34.0,4,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
55,2,2,2,1,4,4.84944809999979,-34.0,24,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
56,2,2,2,1,4,6.384446100000332,-88.0,24,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
57,2,3,3,1,4,1.9010151000002224,56.0,24,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
58,2,0,0,1,4,1.2992765999997573,-29.5,0,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
59,2,2,2,1,4,3.0841522000000623,-88.0,19,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
60,2,1,1,1,4,1.5002457000000504,38.0,2,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
61,2,0,0,1,4,1.4994418000001133,-70.0,0,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
62,2,1,2,0,4,0.9335178999999698,6.5,15,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
63,2,0,0,1,4,4.966335799999797,-11.5,0,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
64,2,2,2,1,4,1.8677441999998337,-65.5,18,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
65,2,0,0,1,4,1.282336100000066,-29.5,1,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
66,2,0,0,1,4,1.2006756000000678,-7.0,2,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
67,2,2,2,1,4,1.566235499999948,-83.5,15,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
68,2,3,2,0,4,1.1506196999998792,6.5,19,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
69,2,1,1,1,4,2.2842759999994087,87.5,5,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
70,2,2,2,1,4,1.901067100000546,-47.5,22,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
71,2,3,2,0,4,1.948819999999614,6.5,23,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
72,2,1,3,0,4,3.064963099999659,33.5,17,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
73,2,0,0,1,4,2.100134300000718,-11.5,12,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
74,2,3,3,1,4,3.1003610999996454,24.5,15,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
75,2,1,1,1,4,3.9674584999993385,38.0,6,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
76,2,0,0,1,4,3.266051999999945,-7.0,10,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
77,2,1,1,1,4,1.817106700000295,65.0,5,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
78,2,1,1,1,4,2.899187500000153,42.5,12,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
79,2,2,2,1,4,2.9832962999998927,-7.0,21,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
80,2,2,2,1,4,1.7001489000003858,-29.5,16,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
81,2,2,2,1,4,2.483697000000575,-43.0,13,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
82,2,0,0,1,4,3.150291500000094,-20.5,9,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
83,2,2,2,1,4,1.7169451999998273,-25.0,19,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
