,Boundary_Task_1,Boundary_high_Task_2,Boundary_low_Task_2,Boundary_Task_3,AIC,sub_id,n_trials,Accuracy_1,Accuracy_2,Accuracy_3,mean_accuracy,BIC,negLL,slope
7,334994.79787875264,3610823.811960819,-515652.2459631184,-5793028.051500475,52.52751677450068,7,265,0.95,0.4,0.2,0.5166666666666667,72.35825047011915,21.26375838725034,8.079293847874592e-07
20,534462.3699894377,384655.9331607821,-235311.60510336072,-924108.4724740894,96.87694137803776,20,189,1.0,0.95,0.25,0.7333333333333333,116.39010804504458,43.43847068901888,4.091370987282988e-06
6,1.1601233107046454,1.4612830720203966,-6.340351561169912,0.32600031234702276,50.4065082674234,6,99,0.9,0.85,1.0,0.9166666666666666,68.65137945822943,20.2032541337117,3.5462794238005473
4,11552905.72169213,51625517.14742839,-82004003.52216727,2244476.1465986446,120.44900620111952,4,238,0.8,0.5,0.05,0.45,142.07080101302608,55.22450310055976,7.509239241181902e-08
5,0.7251792497071015,15.321822904794374,-20.919207300288775,-17.97871160066004,68.92135844979639,5,101,1.0,0.95,1.0,0.9833333333333333,89.21697442770537,29.460679224898193,0.16031701080987873
1,109173.62027391893,1651712.7799583706,-1508703.8015719112,-2202844.124603972,170.93779024102236,1,211,1.0,1.0,0.5,0.8333333333333334,191.23340621893135,80.46889512051118,1.6705944237419716e-06
19,7230.690188141988,106819.65809376494,-119310.5211039941,8481.84296935461,330.40263426297076,19,257,0.65,0.2,0.25,0.36666666666666664,351.3542112922365,160.20131713148538,2.0579153120591656e-05
2,1.0343786390849943,1.4654330725970284,-0.3007204274846451,-0.9626075266872204,49.29678205726384,2,156,0.9,0.4,0.5,0.6,68.87779237030102,19.64839102863192,3.605508058998186
3,1.0406460242008868,1.4413485534525923,-1.1260719451190546,-0.6110486919213068,136.32454172415882,3,351,0.95,0.4,0.1,0.48333333333333334,158.28412729112182,63.16227086207941,3.639792285252324
18,-5804.138303375556,97268.00179678161,-69657.04568115968,-81926.29867111941,62.426105715523406,18,105,0.95,0.85,0.9,0.9,80.91157314805042,26.213052857761703,3.7404836655072354e-05
15,0.9759025607030203,0.8412967081551337,-9.191295946526118,-0.01840970689580903,41.90380826879,15,89,1.0,1.0,1.0,1.0,62.31490282067223,15.951904134394999,5.2362642247395685
14,1955351.502348261,9322467.362520225,3461804.135407055,-19672149.4470807,112.66432412319205,14,99,0.8,0.9,0.8,0.8333333333333334,132.09484428044283,51.33216206159602,1.1992315388942264e-07
16,1.6518643569423919,1.766085712376528,-1.301615615741933,-0.6736899521435262,121.27390217784313,16,151,0.8,0.55,0.9,0.75,140.17761975680477,55.63695108892156,1.969199656552406
17,1.0246606433310195,1.0132128430486493,-0.10324625639819182,-0.07103741964968273,72.80004436334312,17,102,1.0,1.0,0.9,0.9666666666666667,91.02727885155932,31.40002218167156,6.840913859413327
13,0.8695201622676054,1.0300368154342556,-0.28238797134297766,-0.151169429841785,88.00051972699913,13,197,1.0,0.7,0.8,0.8333333333333334,108.52448588907406,39.000259863499565,6.465691745096587
8,-14796.111598761614,-22027.67264060391,83451.5290024215,23257.345737763666,89.3926661202973,8,99,0.95,1.0,0.85,0.9333333333333333,107.9115784935783,39.69633306014865,-8.832239170955997e-05
9,28472.777817243652,178356.97823360795,-102255.60341765848,-139212.18480599992,39.45536218083828,9,108,0.85,0.95,0.9,0.9,56.731967757626784,14.727681090419138,3.2092151035776026e-05
12,0.6886340882561695,1.5085590861046887,-0.9307700220900105,-0.7214765513992436,137.00807700437116,12,265,1.0,0.7,0.25,0.65,158.2675964202006,63.50403850218558,3.0389133697500887
10,3693.7202378662078,1039183.5726808235,-741441.0924752974,-2016433.6329607489,43.930190230289504,10,245,1.0,0.65,0.55,0.7333333333333333,64.03530697703714,16.965095115144752,2.701182596666467e-06
11,-9.371431606294758,1.1050996348941153,-0.8924615979186533,-0.6690423415681772,72.04603832208181,11,126,1.0,0.75,0.4,0.7166666666666667,90.23781166875054,31.02301916104091,2.896520826003833
