Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,3,0,6,0,8,5.466171800000666,-25.0,19,0.42000000000000004,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
2,3,3,5,0,8,2.015759799999614,15.5,11,0.3400000000000001,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
3,3,2,0,0,8,3.8001100000001315,-83.5,0,0.14,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
4,3,5,5,1,8,5.832922799999324,42.5,12,0.38,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
5,3,5,0,0,8,1.1176755999995294,-20.5,9,0.26,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,0,19
6,3,5,3,0,8,1.3838462000003346,29.0,22,0.1,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
7,3,4,2,0,8,3.4494887999999264,-61.0,23,0.22000000000000003,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
8,3,1,1,1,8,2.632866599999943,74.0,1,0.14,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
9,3,2,4,0,8,2.299925900000744,-11.5,4,0.4600000000000001,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,0,19
10,3,7,0,0,8,2.3651187999994363,-88.0,6,0.22000000000000003,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
11,3,5,3,0,8,3.7992771999997785,51.5,13,0.1,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
12,3,0,6,0,8,3.2499124000005395,-11.5,23,0.3400000000000001,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
13,3,5,2,0,8,4.266005999999834,-43.0,20,0.26,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
14,2,1,3,0,4,7.199349800000164,-79.0,19,0.42000000000000004,size,color,orientation,0.30000000000000004,2.0,4,female,0,2711.5623514999997,1,19
