Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,3,3,2,0,8,3.6088055999999824,-70.0,22,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
2,3,5,4,0,8,5.4835325999999895,-20.5,11,0.3400000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
3,2,2,0,0,4,3.133201799999995,-34.0,4,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
4,1,0,1,0,2,2.7098826000000145,-29.5,13,0.30000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
5,3,4,3,0,8,5.032113200000026,47.0,24,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
6,2,1,1,1,4,12.715484899999979,60.5,18,0.1,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
7,2,3,0,0,4,11.916122599999994,11.0,5,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
8,1,0,1,0,2,5.760714600000028,-88.0,0,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
9,3,3,3,1,8,8.966634199999987,24.5,14,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
10,3,4,2,0,8,3.100106500000038,-29.5,22,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
11,2,2,0,0,4,13.917385600000046,-56.5,2,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
12,3,6,3,0,8,4.000307200000009,11.0,17,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
13,2,1,2,0,4,2.9001782000000276,-74.5,0,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
14,1,1,0,0,2,2.910824899999966,29.0,8,0.22000000000000003,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
15,3,2,0,0,8,7.066875999999979,-56.5,10,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
16,3,7,2,0,8,5.766333900000063,-83.5,14,0.18000000000000002,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
17,3,6,5,0,8,5.650517299999933,51.5,6,0.30000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
18,3,5,1,0,8,1.382508600000051,56.0,3,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
19,3,3,0,0,8,2.9657225999999355,-79.0,1,0.18000000000000002,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
20,3,7,4,0,8,3.649087399999985,-29.5,11,0.38,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
21,3,5,7,0,8,4.03188160000002,47.0,19,0.30000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
22,3,3,5,0,8,1.582384300000058,38.0,12,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
23,1,0,0,1,2,2.4291182000000617,65.0,7,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
24,1,1,1,1,2,4.1173,-83.5,19,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
25,1,0,1,0,2,1.9495805999999902,-11.5,14,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
26,3,3,5,0,8,3.7323917999999594,29.0,3,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
27,1,1,0,0,2,3.544443000000001,38.0,11,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
28,1,1,1,1,2,1.5114237999999887,60.5,12,0.4600000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
29,1,0,0,1,2,1.8167134999999917,56.0,2,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
30,1,1,0,0,2,1.3837638999999626,-20.5,20,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
31,1,1,0,0,2,1.5119257999999718,38.0,11,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
32,1,1,0,0,2,1.1117768999999953,-61.0,17,0.22000000000000003,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
33,1,0,0,1,2,1.02835570000002,-38.5,3,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
34,1,1,1,1,2,2.2168660999999474,42.5,3,0.4600000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
35,1,1,1,1,2,1.0833816000000525,47.0,5,0.30000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
36,1,1,0,0,2,0.9331141999999772,-29.5,3,0.18000000000000002,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
37,1,0,0,1,2,1.0782290999999304,-34.0,14,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
38,1,1,0,0,2,3.7009208000000626,74.0,22,0.1,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
39,1,1,1,1,2,1.6271659999999883,65.0,6,0.3400000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
40,1,1,1,1,2,1.9513971000000083,15.5,15,0.30000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
41,1,0,1,0,2,1.3996048999999857,-38.5,18,0.30000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
42,1,0,0,1,2,1.1286532000000307,-20.5,5,0.22000000000000003,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
43,1,1,0,0,2,1.3170632000000069,33.5,20,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
44,1,0,1,0,2,1.4442648000000418,-43.0,19,0.38,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
45,2,2,2,1,4,1.4820633000000498,74.0,3,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
46,2,1,2,0,4,1.6671155000000226,-83.5,3,0.30000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
47,2,3,1,0,4,1.517186000000038,78.5,13,0.18000000000000002,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
48,2,0,3,0,4,1.0493983999999728,-83.5,18,0.38,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
49,2,0,0,1,4,0.9835041000000047,-83.5,11,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
50,2,1,3,0,4,2.600461800000062,15.5,23,0.38,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
51,2,2,2,1,4,0.9493519999999762,78.5,5,0.30000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
52,2,0,0,1,4,1.4329803000000538,-88.0,5,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
53,2,1,0,0,4,1.1498235999999906,-88.0,7,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
54,2,3,3,1,4,1.6487763000000086,-38.5,21,0.3400000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
55,2,2,2,1,4,1.21633769999994,83.0,9,0.30000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
56,2,2,2,1,4,1.9831578999999238,74.0,8,0.38,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
57,2,2,0,0,4,1.1178595000000087,87.5,3,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
58,2,2,2,1,4,2.349475499999926,51.5,2,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
59,2,1,1,1,4,2.2333430999999564,11.0,20,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
60,2,1,1,1,4,1.4170415999999477,24.5,22,0.18000000000000002,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
61,2,0,3,0,4,1.666685799999982,38.0,16,0.4600000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
62,1,0,1,0,2,1.1784154000000626,42.5,17,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
63,1,1,1,1,2,1.5111746999999696,69.5,10,0.38,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
64,1,1,0,0,2,1.1010983999999553,60.5,6,0.22000000000000003,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
65,1,1,0,0,2,1.8940896000000293,83.0,21,0.1,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
66,1,0,1,0,2,1.6292392999999947,2.0,19,0.3400000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
67,3,7,7,1,8,3.132487200000014,38.0,21,0.4600000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
68,3,6,6,1,8,1.4337868999999728,-47.5,16,0.4600000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
69,3,5,3,0,8,1.3998391000000083,24.5,18,0.22000000000000003,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
70,1,0,1,0,2,1.3604209000000083,42.5,4,0.3400000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
71,1,0,0,1,2,3.2789467999999715,38.0,19,0.14,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,1,18
72,1,0,0,1,2,1.0335698000000093,38.0,14,0.1,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
73,1,1,1,1,2,1.183783999999946,-43.0,11,0.4600000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
74,1,1,1,1,2,0.7848887999999761,6.5,19,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
75,1,1,1,1,2,0.7167094000000134,-52.0,9,0.38,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
76,1,0,0,1,2,1.1499565999999959,2.0,7,0.22000000000000003,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
77,1,1,1,1,2,1.2332042000000456,-88.0,21,0.4600000000000001,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
78,1,1,1,1,2,0.9498860999999579,-25.0,12,0.38,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
79,1,1,1,1,2,0.883687200000054,-61.0,4,0.42000000000000004,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
80,1,0,0,1,2,1.2502537000000302,-34.0,16,0.26,size,color,orientation,0.30000000000000004,11.0,19,female,0,2706.6599567000003,0,18
