Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,3,4,6,0,8,6.28226810000001,83.0,12,0.38,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
2,3,1,2,0,8,1.532795999999962,-83.5,2,0.4600000000000001,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
3,3,1,1,1,8,4.850579599999946,-65.5,17,0.3400000000000001,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
4,3,7,4,0,8,1.8838459000000967,33.5,11,0.22000000000000003,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,0,21
5,3,3,2,0,8,3.549712199999931,-38.5,3,0.4600000000000001,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
6,3,4,6,0,8,2.816337400000066,78.5,7,0.4600000000000001,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
7,3,0,1,0,8,2.4332864000000427,-43.0,16,0.18000000000000002,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
8,3,1,1,1,8,9.848931700000094,-56.5,23,0.22000000000000003,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
9,3,6,5,0,8,3.0505328000001555,29.0,24,0.30000000000000004,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,0,21
10,3,2,2,1,8,4.033349999999928,-38.5,1,0.38,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
11,3,3,0,0,8,1.1501160000000255,-70.0,8,0.22000000000000003,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,0,21
12,3,5,7,0,8,2.632393200000024,60.5,19,0.4600000000000001,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
13,3,3,0,0,8,7.983484499999804,-20.5,5,0.18000000000000002,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
14,3,0,1,0,8,6.515989300000001,-43.0,14,0.14,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
15,3,7,7,1,8,2.082884199999853,78.5,16,0.38,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
16,3,6,5,0,8,6.232701399999996,69.5,21,0.22000000000000003,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,0,21
17,3,4,6,0,8,1.4656443000001218,78.5,12,0.38,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
18,3,4,6,0,8,5.699390699999867,83.0,7,0.38,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
19,3,1,2,0,8,1.733270100000027,-56.5,9,0.4600000000000001,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
20,3,7,5,0,8,9.499962000000096,65.0,14,0.18000000000000002,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
21,3,3,5,0,8,6.533500700000104,60.5,13,0.1,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
22,3,5,7,0,8,3.398615800000016,69.5,20,0.38,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
23,3,7,7,1,8,1.3158270000001266,51.5,24,0.42000000000000004,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
24,3,6,6,1,8,2.250408200000038,29.0,6,0.4600000000000001,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,0,21
25,3,4,4,1,8,2.934089399999948,78.5,11,0.3400000000000001,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,0,21
26,3,2,0,0,8,8.465427500000033,-52.0,8,0.14,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,0,21
27,3,2,0,0,8,1.983907299999828,-38.5,2,0.22000000000000003,orientation,size,color,0.38,11.0,2,female,1,2537.0593455999997,1,21
