Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,2,0,3,0,4,13.137886399999843,-88.0,17,0.42000000000000004,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,1,26
2,2,2,3,0,4,6.650537700000086,-65.5,15,0.38,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,1,26
3,2,2,0,0,4,4.58325630000013,-43.0,1,0.22000000000000003,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,1,26
4,2,0,2,0,4,14.766602599999942,-25.0,23,0.14,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,1,26
5,2,1,3,0,4,4.449468799999977,-11.5,23,0.4600000000000001,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,1,26
6,2,1,1,1,4,4.333704800000078,29.0,2,0.38,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,1,26
7,2,1,1,1,4,1.9503242999999202,-52.0,3,0.42000000000000004,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
8,2,2,2,1,4,1.1006717000000208,47.0,16,0.26,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
9,2,0,3,0,4,3.784130100000084,-11.5,15,0.30000000000000004,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
10,2,2,2,1,4,2.616204400000015,78.5,15,0.1,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,1,26
11,2,2,0,0,4,1.0168040999999448,78.5,6,0.1,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
12,3,5,3,0,8,1.9997387999999319,29.0,1,0.42000000000000004,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,1,26
13,1,0,0,1,2,4.059273099999928,-2.5,11,0.18000000000000002,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,1,26
14,1,1,1,1,2,2.1670637999998235,11.0,21,0.42000000000000004,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
15,1,0,0,1,2,3.7335426000001917,69.5,0,0.26,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
16,1,0,0,1,2,1.1664941999999883,-83.5,10,0.18000000000000002,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
17,1,0,0,1,2,1.1668105999999625,-43.0,10,0.42000000000000004,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
18,1,1,1,1,2,5.716817199999923,29.0,18,0.42000000000000004,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
19,1,0,0,1,2,4.033741199999895,-74.5,7,0.3400000000000001,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
20,1,1,1,1,2,2.266822300000058,-7.0,22,0.22000000000000003,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
21,1,1,1,1,2,2.7339529000000766,33.5,19,0.38,color,size,orientation,0.30000000000000004,-11.5,11,male,0,2716.5832896,0,26
