Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,3,0,5,0,8,53.27600219999999,69.5,3,0.42000000000000004,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
2,1,1,1,1,2,4.028018099999997,24.5,13,0.42000000000000004,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
3,1,1,1,1,2,1.3499294000000077,65.0,23,0.4600000000000001,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
4,1,0,1,0,2,1.8837774000000422,-2.5,15,0.42000000000000004,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
5,1,1,1,1,2,5.143684800000017,47.0,23,0.38,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
6,1,1,1,1,2,9.634172299999989,38.0,9,0.42000000000000004,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
7,1,0,0,1,2,17.3164357,-65.5,4,0.18000000000000002,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
8,1,1,1,1,2,7.116985999999997,-7.0,0,0.42000000000000004,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
9,1,0,1,0,2,3.0831924999999956,-2.5,10,0.14,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
10,1,1,1,1,2,0.5282523999999853,11.0,7,0.4600000000000001,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
11,1,1,1,1,2,0.26739349999996875,47.0,24,0.22000000000000003,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
12,1,0,0,1,2,0.26714680000003455,-43.0,15,0.4600000000000001,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
13,1,1,0,0,2,0.266866900000025,-61.0,11,0.22000000000000003,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
14,1,1,0,0,2,1.0775006999999732,-11.5,18,0.1,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
15,1,1,1,1,2,16.811059,74.0,18,0.22000000000000003,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
16,1,0,0,1,2,1.7326458999999659,-29.5,19,0.18000000000000002,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
17,1,0,0,1,2,3.3333381999999574,-74.5,18,0.18000000000000002,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
18,1,1,1,1,2,1.6163358000000017,69.5,10,0.1,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
19,1,0,0,1,2,2.016146400000025,-88.0,24,0.30000000000000004,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
20,1,1,1,1,2,1.3005711000000133,2.0,6,0.4600000000000001,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
21,1,0,0,1,2,1.1667879999999968,-43.0,15,0.18000000000000002,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
22,1,1,1,1,2,0.7658670000000143,33.5,19,0.26,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
23,1,1,1,1,2,0.6168084000000249,65.0,20,0.38,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
24,1,1,1,1,2,0.40030239999998685,47.0,12,0.26,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
25,3,5,4,0,8,2.19860970000002,33.5,7,0.3400000000000001,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
26,3,0,0,1,8,1.9485409000000118,-11.5,0,0.22000000000000003,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
27,3,4,7,0,8,1.4491143000000193,38.0,24,0.42000000000000004,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
28,3,5,7,0,8,2.831437099999903,33.5,23,0.38,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
29,3,1,2,0,8,4.531906800000002,-25.0,22,0.26,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
30,2,2,2,1,4,0.9825129999999263,51.5,7,0.1,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
31,2,3,3,1,4,1.284464699999944,29.0,21,0.42000000000000004,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
32,2,2,3,0,4,1.4834104000000252,87.5,15,0.26,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
33,2,2,3,0,4,0.7991901999999982,69.5,19,0.26,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
34,2,3,2,0,4,1.5987138000000414,78.5,2,0.18000000000000002,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
35,2,2,2,1,4,1.3652335000000448,60.5,0,0.18000000000000002,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,1,19
36,2,1,0,0,4,0.9507494999999153,-52.0,7,0.42000000000000004,orientation,color,size,0.38,-7.0,13,male,1,2304.7063153,0,19
