,Current_task,Accuracy,Boundary_Task_1,Boundary_Task_2_low,Boundary_Task_2_high,Boundary_Task_3,Meta_trial,Probability_correct_1,Probability_correct_2,Probability_correct_3,Decision,Prob_Dec,Prob_Stay,Prob_Inc,accuracy_1,accuracy_2,accuracy_3
32,1,1,0.5,0.25,0.75,0.5,,0.7799366656741173,0.5733999307926552,0.356794595703125,1,0,0.01798620996209155,0.9820137900379085,0.9,0.5,0.1
33,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.5733999307926552,0.356794595703125,1,0.07010371654510807,0.005754463476135386,0.9241418199787566,0.9,0.5,0.1
34,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.5947299342530225,0.356794595703125,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.6,0.1
35,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.5947299342530225,0.38895486591796874,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.1
36,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6149934375403713,0.38895486591796874,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.7,0.1
37,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6149934375403713,0.4195071226220703,1,0.006838924961792181,0.004148017668801007,0.9890130573694068,0.9,0.7,0.1
38,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6342437656633527,0.4195071226220703,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.7,0.1
39,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6342437656633527,0.44853176649096677,1,0.006838924961792181,0.004148017668801007,0.9890130573694068,0.9,0.7,0.1
40,3,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6525315773801851,0.44853176649096677,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.6,0.1
41,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6525315773801851,0.47610517816641845,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.1
42,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6699049985111758,0.47610517816641845,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.6,0.1
43,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6699049985111758,0.5022999192580975,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.1
44,3,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.686409748585617,0.5022999192580975,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.6,0.1
45,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.686409748585617,0.5271849232951926,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.1
46,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7020892611563362,0.5271849232951926,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.6,0.1
47,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7020892611563362,0.550825677130433,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.1
48,3,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7169847980985193,0.550825677130433,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.6,0.1
49,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7169847980985193,0.5732843932739113,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.2
50,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7311355581935933,0.5732843932739113,-1,0.9525741268224333,0.04742587317756678,0,0.9,0.7,0.2
51,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7311355581935933,0.5946201736102158,1,0.006838924961792181,0.004148017668801007,0.9890130573694068,0.9,0.7,0.1
52,3,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7445787802839137,0.5946201736102158,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.6,0.1
53,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7445787802839137,0.614889164929705,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.2
54,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7573498412697179,0.614889164929705,-1,0.9525741268224333,0.04742587317756678,0,0.9,0.6,0.2
55,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7573498412697179,0.6341447066832198,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.2
56,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.769482349206232,0.6341447066832198,-1,0.9525741268224333,0.04742587317756678,0,0.9,0.6,0.2
57,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.769482349206232,0.6524374713490588,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.2
58,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7810082317459205,0.6524374713490588,-1,0.9525741268224333,0.04742587317756678,0,0.9,0.6,0.2
59,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7810082317459205,0.6698155977816059,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.3
60,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7919578201586245,0.6698155977816059,-1,0.8807970779778824,0.11920292202211755,0,0.9,0.7,0.3
61,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.7919578201586245,0.6863248178925256,1,0.006838924961792181,0.004148017668801007,0.9890130573694068,0.9,0.7,0.4
62,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8023599291506932,0.6863248178925256,-1,0.7310585786300049,0.2689414213699951,0,0.9,0.7,0.4
63,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8023599291506932,0.7020085769978993,1,0.006838924961792181,0.004148017668801007,0.9890130573694068,0.9,0.7,0.4
64,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8122419326931586,0.7020085769978993,-1,0.7310585786300049,0.2689414213699951,0,0.9,0.8,0.4
65,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8122419326931586,0.7169081481480043,1,0.0015366425153599463,0.0025334952005360923,0.995929862284104,0.9,0.8,0.5
66,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8216298360585007,0.7169081481480043,0,0.5,0.5,0,0.9,0.8,0.5
67,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8216298360585007,0.7310627407406041,0,0.2689414213699951,0.7310585786300049,0,0.9,0.8,0.6
68,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8216298360585007,0.7445096037035739,0,0.2689414213699951,0.7310585786300049,0,0.9,0.8,0.6
69,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8216298360585007,0.7572841235183951,-1,0.11920292202211769,0.8807970779778823,0,0.9,0.8,0.7
70,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8216298360585007,0.7694199173424754,1,0.0015366425153599463,0.0025334952005360923,0.995929862284104,0.9,0.8,0.7
71,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8305483442555757,0.7694199173424754,0,0.11920292202211769,0.8807970779778823,0,0.9,0.9,0.7
72,3,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8305483442555757,0.7809489214753517,0,0.11920292202211769,0.8807970779778823,0,0.9,0.9,0.7
73,3,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8305483442555757,0.7919014754015841,0,0.11920292202211769,0.8807970779778823,0,0.9,0.9,0.7
74,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8305483442555757,0.8023064016315049,-1,0.11920292202211769,0.8807970779778823,0,0.9,0.9,0.7
75,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8305483442555757,0.8121910815499297,1,0.00027385395951405725,0.001227328297222953,0.998498817743263,0.9,0.9,0.7
76,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8390209270427968,0.8121910815499297,0,0.11920292202211769,0.8807970779778823,0,0.9,0.9,0.7
77,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8390209270427968,0.8215815274724332,0,0.047425873177566635,0.9525741268224334,0,0.9,0.9,0.8
78,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.8390209270427968,0.8305024510988115,0,0.047425873177566635,0.9525741268224334,0,0.9,0.9,0.8
