Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
43,4,2,0,0,4,1.0663301249987853,-43.0,22,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
44,4,1,0,0,2,0.48645933300031174,-38.5,2,0.42000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
45,4,5,0,0,8,0.6689009170004283,-29.5,9,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
46,4,1,0,0,2,0.4506694579995383,-61.0,13,0.4600000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
47,4,2,0,0,4,0.6009429160003492,2.0,20,0.14,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
48,4,2,0,0,4,0.998855084000752,-56.5,18,0.14,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
49,4,2,0,0,4,0.868036290999953,-52.0,18,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
50,4,2,1,0,4,0.2995940000000701,-61.0,1,0.38,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
51,4,2,2,1,4,0.3490054579997377,29.0,15,0.22000000000000003,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
52,4,2,0,0,4,0.3374773340001411,-29.5,10,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
53,4,2,2,1,4,0.3055077499993786,38.0,18,0.18000000000000002,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
54,4,2,3,0,4,0.5472701250000682,38.0,1,0.3400000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
55,4,5,5,1,8,0.3370952090008359,87.5,14,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
56,4,1,0,0,2,0.6726020829992194,-61.0,0,0.38,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
57,4,1,0,0,2,0.4417702079990704,-20.5,16,0.18000000000000002,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
58,4,1,1,1,2,0.9185903329998837,15.5,9,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
59,4,2,0,0,4,1.2717886659993383,6.5,6,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
60,4,5,7,0,8,0.46546916700026486,15.5,22,0.3400000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
61,4,1,0,0,2,0.5971300000001065,-43.0,18,0.26,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
62,4,6,4,0,8,0.4234942499988392,38.0,9,0.18000000000000002,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
63,4,2,1,0,4,0.7853161250004632,-65.5,3,0.42000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
64,4,2,2,1,4,0.3816976660000364,69.5,17,0.14,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
65,4,2,1,0,4,0.41321274999972957,-56.5,9,0.42000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
66,4,1,1,1,2,0.7681752920016152,24.5,13,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
67,4,2,0,0,4,0.7924790840006608,-29.5,21,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
68,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
69,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
70,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
71,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
72,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
73,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
74,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
75,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
76,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
77,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
78,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
79,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
80,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
81,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
82,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
83,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
84,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
85,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
86,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
87,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
88,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
89,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
90,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
91,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
92,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
93,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
94,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
95,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
96,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
97,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
98,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
99,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
100,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
