Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time
44,2,1,1,1,4,1.1949735000016517,56.0,10,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
45,2,1,1,1,4,0.8649336249982298,56.0,10,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
46,2,1,1,1,4,0.7991821670002537,65.0,4,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
47,2,1,1,1,4,0.5225594999974419,60.5,8,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
48,2,0,0,1,4,1.0352288330032025,-65.5,11,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
49,2,0,0,1,4,0.739099874997919,-61.0,0,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
50,2,0,0,1,4,0.6822111249966838,-74.5,3,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
51,2,3,3,1,4,1.2255328749997716,24.5,15,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
52,2,3,3,1,4,0.4809836250024091,24.5,15,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
53,2,1,1,1,4,1.3485099579993403,29.0,8,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
54,2,0,0,1,4,1.2350037500000326,-61.0,10,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
55,2,1,1,1,4,1.8937578340010077,87.5,9,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
56,2,0,0,1,4,1.0956344590013032,-61.0,3,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
57,2,3,3,1,4,1.1951573749975068,29.0,17,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
58,2,3,3,1,4,0.9950507499997912,24.5,13,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
59,2,0,0,1,4,1.1617568340006983,-29.5,10,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
60,2,1,1,1,4,0.8508356249985809,60.5,3,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
61,3,1,0,0,8,2.784185750002507,-65.5,1,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
62,3,2,3,0,8,4.054770124999777,6.5,0,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
63,3,7,6,0,8,2.277205499998672,29.0,19,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
64,3,3,3,1,8,2.4451691249996657,42.5,12,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
