Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender
52,3,2,2,1,8,2.7075000410004577,-16.0,9,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
53,3,3,3,1,8,1.6741734580000411,74.0,0,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
54,3,3,3,1,8,0.8070904999995037,78.5,8,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
55,3,0,0,1,8,1.6380771670001195,-34.0,11,0.18000000000000002,color,size,orientation,0.30000000000000004,40.5,4,male
56,3,4,4,1,8,2.606903500000044,-25.0,21,0.14,color,size,orientation,0.30000000000000004,40.5,4,male
57,3,2,2,1,8,3.1734635419998085,-88.0,1,0.30000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
58,3,2,6,0,8,0.9734210410006199,-79.0,14,0.30000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
59,4,3,2,0,4,12.717593999999735,87.5,21,0.26,color,size,orientation,0.30000000000000004,40.5,4,male
60,4,1,1,1,4,7.688576291999198,56.0,1,0.42000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
61,4,0,0,1,8,4.973123750000013,-61.0,6,0.18000000000000002,color,size,orientation,0.30000000000000004,40.5,4,male
62,4,2,2,1,8,2.373733791999257,-25.0,6,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
63,4,1,1,1,4,4.805039582999598,-65.5,8,0.30000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
64,4,4,4,1,8,3.789858875000391,-11.5,20,0.18000000000000002,color,size,orientation,0.30000000000000004,40.5,4,male
65,4,1,1,1,2,7.172965750000003,-38.5,18,0.18000000000000002,color,size,orientation,0.30000000000000004,40.5,4,male
66,4,5,5,1,8,2.7730151249998016,60.5,20,0.1,color,size,orientation,0.30000000000000004,40.5,4,male
67,4,1,1,1,4,3.987691082999845,-7.0,9,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
68,4,0,0,1,2,2.5886540000001332,-25.0,4,0.30000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
69,4,1,1,1,2,1.5539641249997658,-43.0,19,0.14,color,size,orientation,0.30000000000000004,40.5,4,male
70,4,3,2,0,8,3.6568676659999255,15.5,5,0.3400000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
71,4,3,3,1,4,3.0495200830000613,83.0,16,0.3400000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
72,4,2,2,1,8,3.669998540999586,-79.0,7,0.3400000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
73,4,3,3,1,4,2.2557058329994106,-47.5,13,0.38,color,size,orientation,0.30000000000000004,40.5,4,male
74,4,6,6,1,8,5.073010875000364,-38.5,22,0.30000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
75,4,5,5,1,8,3.5397610829995756,51.5,19,0.22000000000000003,color,size,orientation,0.30000000000000004,40.5,4,male
76,4,2,2,1,8,3.3564595000007102,-83.5,0,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
77,4,2,2,1,8,2.4725168750001103,-7.0,7,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
78,4,0,0,1,4,3.8714873749995604,87.5,1,0.18000000000000002,color,size,orientation,0.30000000000000004,40.5,4,male
79,4,2,2,1,4,4.021604874999866,78.5,20,0.14,color,size,orientation,0.30000000000000004,40.5,4,male
80,4,1,1,1,2,9.172478124999543,-70.0,19,0.14,color,size,orientation,0.30000000000000004,40.5,4,male
81,4,0,0,1,2,1.5880656669996824,69.5,1,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
82,4,1,1,1,2,5.1551589580003565,15.5,19,0.1,color,size,orientation,0.30000000000000004,40.5,4,male
83,4,0,0,1,2,1.6049097499999334,38.0,11,0.30000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
84,4,1,1,1,2,7.204190667000148,-65.5,17,0.26,color,size,orientation,0.30000000000000004,40.5,4,male
85,4,1,1,1,2,0.8055434999996578,-47.5,14,0.1,color,size,orientation,0.30000000000000004,40.5,4,male
86,4,0,0,1,4,1.6540035409998382,11.0,1,0.14,color,size,orientation,0.30000000000000004,40.5,4,male
87,4,0,0,1,4,3.9717497910005477,15.5,9,0.14,color,size,orientation,0.30000000000000004,40.5,4,male
88,4,1,1,1,2,5.770908041999974,74.0,16,0.26,color,size,orientation,0.30000000000000004,40.5,4,male
89,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,size,orientation,0.30000000000000004,40.5,4,male
90,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,size,orientation,0.30000000000000004,40.5,4,male
91,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,size,orientation,0.30000000000000004,40.5,4,male
92,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,size,orientation,0.30000000000000004,40.5,4,male
93,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,size,orientation,0.30000000000000004,40.5,4,male
