,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
41,41.0,2.0,0.0,0.6530788195022809,0.5393097599029858,0.3928879341289917,0.4,0.6,0.5,0.4,-0.09999999999999998,0.5,2.0,0.0,1.0,,,,0.3581547316164597,0.37651771737869627,0.2653275510048439
42,42.0,2.0,0.0,0.6530788195022809,0.5531304671058962,0.3928879341289917,0.4,0.6,0.5,0.4,0.0,0.5,3.0,0.0,2.0,,,,0.3862707663886902,0.2462971147979463,0.3674321188133635
43,43.0,3.0,0.0,0.6530788195022809,0.5665365530927193,0.3928879341289917,0.4,0.6,0.5,0.4,0.6,0.0,4.0,1.0,0.0,,,,0.3862707663886902,0.24629711479794633,0.3674321188133635
44,44.0,2.0,1.0,0.6530788195022809,0.5665365530927193,0.41110129610512197,0.4,0.5,0.5,0.4,0.09999999999999998,0.5,5.0,0.0,1.0,,,,0.40026639681258097,0.3445124804315058,0.25522112275591324
45,45.0,1.0,0.0,0.6530788195022809,0.5795404564999378,0.41110129610512197,0.4,0.5,0.5,0.0,0.5,0.5,0.0,1.0,2.0,,,,0.4071066317249888,0.2595826490997706,0.33331071917524074
46,46.0,3.0,0.0,0.6634864549172125,0.5795404564999378,0.41110129610512197,0.4,0.5,0.6,0.4,0.5,-0.09999999999999998,1.0,2.0,0.0,,,,0.27518763347574954,0.3533479157410129,0.37146445078323753
47,47.0,3.0,0.0,0.6634864549172125,0.5795404564999378,0.4287682572219683,0.4,0.5,0.6,0.4,0.5,0.0,2.0,3.0,0.0,,,,0.3674321188133635,0.3862707663886902,0.2462971147979463
48,48.0,3.0,1.0,0.6634864549172125,0.5795404564999378,0.44590520950530926,0.4,0.5,0.6,0.4,0.5,0.0,3.0,4.0,0.0,,,,0.3674321188133635,0.3862707663886902,0.24629711479794633
49,49.0,2.0,0.0,0.6634864549172125,0.5795404564999378,0.46252805322015,0.4,0.6,0.6,0.4,-0.09999999999999998,0.6,4.0,0.0,1.0,,,,0.37189939368111985,0.39096708333672947,0.23713352298215065
50,50.0,2.0,0.0,0.6634864549172125,0.5921542428049397,0.46252805322015,0.4,0.7,0.6,0.4,-0.09999999999999998,0.6,5.0,0.0,2.0,,,,0.4102298548273509,0.2366820369550547,0.35308810821759445
51,51.0,1.0,0.0,0.5,0.25,0.125,0.5,0.7,0.6,-0.09999999999999998,0.7,0.6,0.0,1.0,3.0,,,,0.4196824781674819,0.21909346530793128,0.3612240565245869
52,52.0,2.0,1.0,0.515,0.25,0.125,0.5,0.6,0.6,0.5,0.09999999999999998,0.6,1.0,0.0,4.0,,,,0.2507912631074925,0.355889742946556,0.3933189939459515
53,53.0,3.0,0.0,0.515,0.2725,0.125,0.5,0.6,0.7,0.5,0.6,-0.09999999999999998,2.0,1.0,0.0,,,,0.34451248043150584,0.2552211227559133,0.400266396812581
54,54.0,3.0,1.0,0.515,0.2725,0.15125,0.5,0.6,0.7,0.5,0.6,0.0,3.0,2.0,0.0,,,,0.3909670833367294,0.3718993936811198,0.23713352298215062
55,55.0,2.0,1.0,0.515,0.2725,0.1767125,0.5,0.6,0.7,0.5,0.0,0.7,4.0,0.0,1.0,,,,0.39096708333672947,0.3718993936811199,0.23713352298215065
56,56.0,2.0,0.0,0.515,0.294325,0.1767125,0.5,0.6,0.7,0.5,0.0,0.7,5.0,0.0,2.0,,,,0.40531142198933695,0.2458338041682581,0.3488547738424049
57,57.0,3.0,0.0,0.515,0.31549525,0.1767125,0.5,0.6,0.7,0.5,0.6,0.0,6.0,1.0,0.0,,,,0.41022985482735086,0.2366820369550547,0.35308810821759445
58,58.0,3.0,1.0,0.515,0.31549525,0.201411125,0.5,0.6,0.6,0.5,0.6,0.09999999999999998,7.0,2.0,0.0,,,,0.4346226373621515,0.33848445031820285,0.22689291231964576
59,59.0,2.0,0.0,0.515,0.31549525,0.22536879125,0.5,0.7,0.6,0.5,-0.09999999999999998,0.6,8.0,0.0,1.0,,,,0.42962479138109744,0.3345921239544877,0.2357830846644149
60,60.0,2.0,0.0,0.515,0.3360303925,0.22536879125,0.5,0.7,0.6,0.5,0.0,0.6,9.0,0.0,2.0,,,,0.4642488777974953,0.20860046735333115,0.3271506548491734
61,61.0,3.0,1.0,0.515,0.355949480725,0.22536879125,0.5,0.7,0.6,0.5,0.7,0.0,10.0,1.0,0.0,,,,0.46424887779749535,0.20860046735333118,0.32715065484917344
62,62.0,1.0,1.0,0.515,0.355949480725,0.24860772751250002,0.5,0.7,0.6,0.0,0.7,0.6,0.0,2.0,1.0,,,,0.4791665302839241,0.30553006902395696,0.2153034006921189
63,63.0,2.0,0.0,0.52955,0.355949480725,0.24860772751250002,0.5,0.7,0.6,0.5,0.0,0.6,1.0,0.0,2.0,,,,0.26532755100484395,0.3765177173786963,0.3581547316164598
64,64.0,1.0,0.0,0.52955,0.37527099630325,0.24860772751250002,0.6,0.7,0.6,-0.09999999999999998,0.7,0.6,0.0,1.0,3.0,,,,0.3674321188133635,0.2462971147979463,0.3862707663886902
65,65.0,3.0,1.0,0.5436635,0.37527099630325,0.24860772751250002,0.6,0.7,0.5,0.6,0.7,0.09999999999999998,1.0,2.0,0.0,,,,0.24151404371452384,0.3602966152405401,0.39818934104493603
