,Current_PE,Current_LP,Current_Nov,Estimated_PE,Estimated_LP,Estimated_Nov,Negative_LogL
0,-0.8782212803350471,0.6774001924651304,0.5882922701253231,-1.24789404389273,0.8196102808167259,0.47531043182967175,
1,-0.446239818923246,0.5785623411377487,0.3577034767419856,-0.4823389094402058,0.4515831721391455,0.5746456008661749,
2,-0.674010297897504,0.1906202890340994,0.1130897782550346,0.3968557479964826,-0.09159941498863362,0.13321751276166616,
3,-0.457470373139346,0.6589152856253548,0.9629466345123002,-0.2798810921256914,0.4320392983496083,1.3068984806297648,
4,-0.75028662501027,0.7598643040048094,0.7477633788662815,-0.3485641895799042,0.5063441169523493,0.8053404890758741,
5,-0.5680770069694551,0.2367311980016592,0.0353161121336402,-0.48754774323130773,0.1733015054903608,0.10846947972237125,
6,-0.6522971691417685,0.534397291978677,0.2670651783439542,-0.577314992819238,0.581599605515784,0.6428735386832671,
7,-0.7183619286335686,0.7510116719366579,0.3612039822418955,-0.7744760655796703,0.5895411205013136,1.2677986030018658,
8,-0.6904227799076276,0.1378060315300497,0.4762913233886944,-0.6284523561249993,-0.10668536823863753,0.6627570784753162,
9,-0.1229686281129237,0.8991546622043132,0.5075979263811418,0.3890971166580531,0.9942830456967697,0.8202309652939827,
10,-0.4133299867226857,0.8056588531952804,0.0079384636856112,-0.12409467155289608,0.5310336383984489,0.06893649199156461,
11,-0.1363006285893718,0.0281036799455887,0.1266331340914298,0.3817904771220939,0.059786141610649775,0.42074403836428514,
12,-0.7700168807503583,0.5525146270642357,0.0575992058673379,-0.679354362572133,0.42117834923214675,0.17828978976224058,
13,-0.8642983322570618,0.0237920481398861,0.5788264182838657,-1.7711364943556114,0.27757143091197817,0.2619406753929206,
14,-0.0503239718308964,0.785461034021259,0.051058520803077,-0.07205343611561973,1.016217117118612,-0.03982335258439568,
15,-0.2027534293974521,0.0554195222163209,0.0450726550713056,-0.3552222527047306,0.11408737724512104,0.38788684550983543,
16,-0.1334906351070622,0.5529403216471966,0.5330151401555093,-0.21746926104462086,0.5280030778779332,0.69125870381301,
17,-0.8101194723766709,0.8711140451321483,0.4740139351027851,-0.8731451234183418,1.0610587633731943,0.3278193557723441,
18,-0.13470091928784,0.0385630347971968,0.1379912298226981,0.2571424387219056,-0.05557112608714304,0.04792991883656436,
19,-0.855085975309279,0.2144495910860135,0.4603684272167516,-1.1293060690820687,0.14736106529391452,0.7082045717829352,
20,-0.8596206976757137,0.313559140153366,0.327760872805598,-1.2616312962450755,0.408223119210784,0.41974687102099084,
21,-0.3459147872701639,0.6856340193113502,0.4543528075044081,-0.05057668119248393,-0.1393943039438728,1.1263574664662919,
22,-0.6122463271636028,0.3044528075960272,0.4991720912452313,-0.5039719932042614,0.44609523703592313,0.7668116711950006,
23,-0.2861562361599337,0.1482664037464599,0.9580139375398,-0.03663827815234509,-0.3637757843257644,1.1588693560552403,
24,-0.0123237694721687,0.1132844972169939,0.2780971458068798,-0.41258303627260323,0.2439355885740886,0.46465851540106984,
25,-0.8713715472496786,0.0402496857762668,0.4252121241395783,-0.5741148713243732,-0.3722489797473097,1.0513099767692655,
26,-0.0169800840306133,0.1928450538710608,0.5270165953218955,-0.3292306099565352,0.7450769535315979,0.7991434495230147,
27,-0.5805641852679064,0.6951065403404231,0.1144425866542645,-1.221404841684489,0.9308200561244512,0.22212924214405913,
28,-0.6835894954035994,0.7113298856928394,0.9324397867549368,-0.4114500334409038,0.54960168719325,1.1946573703516121,
29,-0.3829598676911859,0.4588968094258792,0.2620127795910287,-0.5952936708642809,0.05989645021662107,0.47567762014893056,
30,-0.0820188067036279,0.3542202588453254,0.9711267218991512,-0.0764324644458312,0.22211624312330858,1.041640649060242,
31,-0.8707362645427082,0.5448438976467831,0.1717573820595324,-0.9837295582794167,0.4714648920696612,0.08350052711347497,
32,-0.9586126782679056,0.4048640399935945,0.9743332966837844,-1.1171244285005009,0.5368739856620661,0.6447119389334817,
33,-0.9586488868426192,0.7231658853539469,0.4157945642148123,-0.9861876572542869,0.7047758405685718,0.2681249817762107,
34,-0.9194717941347098,0.3556603836492854,0.6851817291768169,-0.2900663876264932,-0.041186889622543216,0.8140662482686825,
