,Current_PE,Current_LP,Current_Nov,Estimated_PE,Estimated_LP,Estimated_Nov,Negative_LogL
0,-0.9031972119917252,0.5588488006312492,0.327215996861072,-0.7268094029305949,0.4803500703799095,0.3129200496815583,
1,-0.0801530598702251,0.9502071108327796,0.4489566796551497,-0.3626971379156813,1.3712403643812776,0.2800405149535241,
2,-0.0432641587396418,0.8560014876933875,0.1657425040370201,0.10260656993650681,0.7384417852640065,0.36785970038251814,
3,-0.2171890874554085,0.1527399656371131,0.6763182363138162,-0.07931794841155038,0.07385610905557673,0.6920630499014461,
4,-0.5453323674222763,0.8516433123205439,0.9575412291461916,-0.5528916469942842,0.9033745358676379,0.7657232065510705,
5,-0.3785564635142173,0.559818898252999,0.2003409263999884,-0.5092373171424858,0.6456953599210177,0.22070919406638573,
6,-0.0014851628464881,0.0933061466988447,0.1469547703717614,-0.11444620860263727,0.20258859924998446,0.0942257290948628,
7,-0.3348919875009029,0.3894511844767084,0.5709054859328646,-0.41277006401919697,0.5020837575087,0.2470503287034601,
8,-0.4292175053433723,0.4239215461930812,0.4349820278143748,-0.3523894651193811,0.2697670842506567,0.3533263208084918,
9,-0.1565627281449786,0.3051826805232704,0.1020473450172606,-0.1438581895804484,0.35624267675220816,0.10876292173547839,
10,-0.917823428437009,0.1015793220069828,0.2013335345431174,-0.9889798217658113,0.08285996035881783,0.29067495772789753,
11,-0.6538197027776641,0.90875305856169,0.1767378625929654,-0.5552238598224256,0.7493982574369215,1.4788012582982435,
12,-0.8750023301084857,0.8246053546339361,0.4186571818266005,-0.7533781629903038,0.7663741850704119,0.4274910124681475,
13,-0.2547074719188197,0.9482705878356932,0.1276523679816662,-0.7772612943232252,1.381716100281281,0.3354108597568264,
14,-0.9187380809888852,0.6190984438302959,0.486216934110119,-0.7758630534752284,0.4040093857877249,1.1832617206289677,
15,-0.6503398545517339,0.5389321150404031,0.0665404627304827,-0.7552355308705081,0.6298943161580001,0.07711402570376531,
16,-0.9587532698967816,0.0415336512705707,0.6184787784062896,-1.4066876328424207,-0.022367733928694136,1.4985383941178103,
17,-0.0845331921668564,0.9804378020015164,0.3277092090711024,0.038339114042672075,0.8833176164622292,0.1286255377658178,
18,-0.7115698670807666,0.2792065531586258,0.611630730714652,-0.6255267956454744,0.2983624205088714,0.44313786947930417,
19,-0.7305572894251607,0.9140560515415732,0.714971922072222,-0.6495715305007389,0.6960377560675447,2.0040181901490812,
20,-0.6487013287701703,0.2536382874768643,0.2782255884926788,-0.7363843177559134,0.2593682535598326,0.2871432153503848,
