,First_feature,Second_feature,Third_feature,Correct_response_1,Correct_response_2,Correct_response_3,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
18,1,1.0,1.0,1.0,3.0,7.0,18.0,3.0,0.0,0.6081283202811519,0.3360303925,0.24860772751250002,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.4448529655334365,0.335901458495638,0.21924557597092556
19,1,1.0,1.0,1.0,3.0,7.0,19.0,1.0,0.0,0.6081283202811519,0.3360303925,0.271149495687125,1.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.4740919586169123,0.39268856058465085,0.1332194807984368
20,0,0.0,1.0,0.0,0.0,1.0,20.0,2.0,0.0,0.6198844706727173,0.3360303925,0.271149495687125,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.34904122060394177,0.46225468259194913,0.18870409680410913
21,0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.6198844706727173,0.355949480725,0.271149495687125,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,3.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.43056788278550256,0.3572269375936501,0.21220517962084728
22,1,0.0,1.0,1.0,2.0,5.0,22.0,2.0,0.0,0.6312879365525358,0.355949480725,0.271149495687125,1.0,2.0,2.0,1.0,-1.0,2.0,1.0,0.0,4.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.3498932768227435,0.42172857516646683,0.22837814801078957
23,0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.6312879365525358,0.37527099630325,0.271149495687125,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,5.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5251328703089725,0.16240463834548952,0.31246249134553816
24,1,1.0,1.0,1.0,3.0,7.0,24.0,2.0,0.0,0.6423492984559597,0.37527099630325,0.271149495687125,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,6.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.668778241972642,0.1347762603271299,0.19644549770022826
25,1,1.0,0.0,1.0,3.0,6.0,25.0,1.0,0.0,0.6423492984559597,0.3940128664141525,0.271149495687125,1.0,2.0,2.0,-1.0,2.0,2.0,0.0,1.0,7.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.6782477603699755,0.10320839735113785,0.21854384227888665
26,0,1.0,1.0,0.0,1.0,3.0,26.0,3.0,0.0,0.6530788195022809,0.3940128664141525,0.271149495687125,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.3792671289877508,0.22492621533449422,0.39580665567775486
27,0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,0.6530788195022809,0.3940128664141525,0.2930150108165112,0.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5458219600005214,0.2690080976629999,0.18516994233647865
