Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,3,5,4,0,8,2.865792199999987,60.5,2,0.18000000000000002,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
2,3,4,7,0,8,0.9991538000001583,65.0,14,0.42000000000000004,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
3,3,3,1,0,8,4.731765600000017,-65.5,8,0.38,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
4,2,1,0,0,4,1.333353999999872,-11.5,7,0.30000000000000004,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
5,2,2,3,0,4,1.1004129000000376,56.0,21,0.3400000000000001,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
6,2,3,3,1,4,2.180921699999999,42.5,19,0.18000000000000002,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
7,2,1,1,1,4,1.8167665999999372,-83.5,22,0.30000000000000004,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,0,20
8,2,2,3,0,4,1.7338342000000466,60.5,15,0.14,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,0,20
9,2,3,2,0,4,1.4155390999999327,47.0,11,0.14,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
10,2,2,3,0,4,1.782369000000017,87.5,24,0.3400000000000001,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
11,2,0,1,0,4,1.283681599999909,-20.5,21,0.14,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
12,3,6,2,0,8,2.464484999999968,15.5,23,0.18000000000000002,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
13,3,2,7,0,8,1.8151996999999938,47.0,13,0.42000000000000004,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
14,1,1,1,1,2,0.9928516999998465,33.5,12,0.18000000000000002,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
15,1,1,0,0,2,1.0164600000000519,11.0,13,0.18000000000000002,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,0,20
16,1,0,0,1,2,0.8259301000000505,-20.5,15,0.1,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,1,20
17,1,0,0,1,2,1.0007008999998561,-16.0,3,0.30000000000000004,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,0,20
18,1,0,0,1,2,1.3838854999999057,-83.5,4,0.42000000000000004,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,0,20
19,1,1,0,0,2,1.0339656999999534,11.0,7,0.38,orientation,color,size,0.3400000000000001,20.0,3,female,0,2703.6115466,0,20
