Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,1,1,0,0,2,10.872893500000032,-38.5,0,0.14,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,1,22
2,1,1,1,1,2,6.607756999999992,47.0,10,0.18000000000000002,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,1,22
3,1,1,1,1,2,8.550605399999995,33.5,23,0.38,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,0,22
4,1,1,1,1,2,1.8328378999999586,20.0,3,0.1,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,0,22
5,1,1,1,1,2,1.7670693000000028,11.0,5,0.18000000000000002,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,0,22
6,1,1,1,1,2,1.017171400000052,11.0,20,0.22000000000000003,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,0,22
7,1,0,0,1,2,3.4504852999998548,-88.0,7,0.14,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,0,22
8,1,0,0,1,2,1.4340770999999677,-74.5,23,0.30000000000000004,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,0,22
9,1,1,1,1,2,1.5337490999997954,2.0,18,0.4600000000000001,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,0,22
10,1,0,0,1,2,1.2496172999999544,-20.5,0,0.26,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,0,22
11,1,0,0,1,2,1.433359399999972,-83.5,21,0.26,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,0,22
12,2,1,1,1,4,12.566695600000003,-56.5,13,0.30000000000000004,orientation,color,size,0.22000000000000003,-16.0,8,male,1,2208.7880389,1,22
