Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,1,0,1,0,2,2.8223689000005834,47.0,6,0.14,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
2,1,1,1,1,2,1.974878400000307,78.5,20,0.26,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
3,1,1,1,1,2,1.033723700000337,65.0,18,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
4,1,0,0,1,2,1.4509350000007544,-25.0,18,0.18000000000000002,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
5,1,0,0,1,2,0.9662713999987318,-16.0,13,0.18000000000000002,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
6,1,1,0,0,2,1.6662539999997534,2.0,17,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
7,1,1,0,0,2,1.9079875999996148,-56.5,19,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
8,1,0,1,0,2,1.457861299999422,38.0,8,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
9,1,1,1,1,2,1.4748298000013165,38.0,10,0.14,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
10,1,0,0,1,2,1.4340910000009899,-47.5,9,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
11,1,0,0,1,2,1.0676871000014216,-25.0,14,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
12,1,0,1,0,2,1.9495799000014813,87.5,6,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
13,1,0,0,1,2,1.0570920999998634,-16.0,18,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
14,1,1,1,1,2,1.066238199999134,38.0,16,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
15,1,0,0,1,2,0.9173554999997577,-43.0,13,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
16,1,0,0,1,2,1.217267300000458,-52.0,4,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
17,1,0,0,1,2,1.76737409999987,-25.0,1,0.14,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
18,1,0,0,1,2,0.9497876000004908,-7.0,9,0.14,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
19,1,1,0,0,2,1.3495304000007309,-70.0,18,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
20,1,1,0,0,2,1.627193399999669,-79.0,19,0.1,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
21,1,0,0,1,2,0.9093797000004997,-52.0,9,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
22,1,0,0,1,2,0.5330328000000009,-70.0,0,0.42000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
23,1,0,0,1,2,0.8001602000003913,-20.5,0,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
24,1,1,1,1,2,0.9499878000005992,15.5,0,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
25,1,0,0,1,2,0.7339628000008815,-38.5,3,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
26,1,1,0,0,2,1.0838813000009395,6.5,15,0.18000000000000002,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
27,1,0,1,0,2,1.9046118000005663,11.0,15,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
28,1,0,0,1,2,1.3736391000002186,-25.0,23,0.42000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
29,1,0,0,1,2,0.8328735999984929,-61.0,14,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
30,1,1,0,0,2,1.3682481000014377,-29.5,17,0.1,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
31,1,1,1,1,2,1.3400407000008272,38.0,20,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
32,1,1,1,1,2,1.0016108999989228,29.0,5,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
33,1,0,1,0,2,1.96767059999911,78.5,5,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
34,1,1,1,1,2,1.2755790000010165,78.5,4,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
35,1,0,0,1,2,0.8003143999994791,-43.0,3,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
36,1,1,1,1,2,0.9509445999992749,11.0,21,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
37,1,1,1,1,2,1.5340755000015633,83.0,0,0.18000000000000002,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
38,1,0,0,1,2,0.9495521999997436,-34.0,14,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
39,1,0,0,1,2,1.299864799999341,-65.5,13,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
40,1,0,0,1,2,1.8496209000004455,-2.5,11,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
41,1,0,0,1,2,0.9355340000001888,-29.5,15,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
42,1,0,0,1,2,1.7665312999997695,-43.0,17,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
43,1,1,1,1,2,1.3997182000002795,15.5,17,0.18000000000000002,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
44,2,1,1,1,4,2.683298600000853,-61.0,8,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
45,2,2,1,0,4,1.0333313999999518,-88.0,4,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
46,2,1,0,0,4,1.3831675999990694,6.5,22,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
47,2,0,2,0,4,1.433298800000557,65.0,24,0.18000000000000002,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
48,2,1,0,0,4,1.1500505000003614,-83.5,3,0.26,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
49,2,2,2,1,4,1.5336385999999038,74.0,24,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
50,2,2,0,0,4,1.0320695999998861,6.5,20,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
51,2,0,1,0,4,2.266115599999466,-7.0,1,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
52,2,2,2,1,4,1.0510235999990982,42.5,18,0.1,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
53,2,2,2,1,4,1.783474699999715,33.5,17,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
54,2,2,2,1,4,0.9166366000008566,38.0,5,0.1,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
55,2,0,0,1,4,2.166570100000172,-83.5,8,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
56,2,1,1,1,4,2.3499226000003546,-88.0,5,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
57,2,1,1,1,4,0.9333724999996775,-56.5,1,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
58,2,3,0,0,4,2.2843042999993486,-7.0,11,0.14,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
59,2,2,0,0,4,1.2995147000001452,6.5,10,0.1,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
60,2,1,2,0,4,1.3499934999999823,42.5,23,0.14,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
61,2,2,0,0,4,1.1162232999995467,-25.0,17,0.18000000000000002,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
62,2,1,0,0,4,0.967180499999813,-47.5,20,0.14,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
63,2,0,2,0,4,3.1164478000009694,15.5,19,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
64,2,1,1,1,4,1.6661125999999058,-56.5,3,0.42000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
65,2,1,3,0,4,1.3826056000016251,65.0,13,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
66,2,1,2,0,4,2.1656129000002693,24.5,7,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
67,2,0,2,0,4,2.050004499998977,78.5,2,0.14,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
68,2,1,0,0,4,0.8174858000002132,-61.0,13,0.1,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
69,2,1,0,0,4,1.4824878999988869,6.5,23,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
70,2,0,1,0,4,1.2664757000002282,2.0,22,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
71,2,3,0,0,4,4.601093200000832,-61.0,18,0.26,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
72,3,4,3,0,8,1.2674495999999635,-11.5,17,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
73,1,0,0,1,2,1.372736299999815,-16.0,18,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
74,1,1,1,1,2,0.917175299999144,20.0,5,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
75,1,0,0,1,2,0.8184268999993947,-47.5,5,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
76,1,0,0,1,2,0.900163700000121,-56.5,15,0.14,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
77,1,0,0,1,2,0.6508374999993976,-43.0,6,0.42000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
78,1,1,1,1,2,0.9837629000012384,60.5,5,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
79,1,0,0,1,2,0.7829094000007899,-47.5,14,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
80,1,1,1,1,2,0.6831913999994867,20.0,5,0.38,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
81,1,1,1,1,2,1.850016799999139,87.5,17,0.22000000000000003,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
82,1,1,1,1,2,0.6831469000007928,87.5,18,0.4600000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
83,2,1,0,0,4,1.6503642999996373,-79.0,1,0.30000000000000004,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
84,2,3,2,0,4,2.233441299998958,69.5,7,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
85,2,2,2,1,4,0.7988877999996475,83.0,3,0.3400000000000001,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,1,19
86,2,3,2,0,4,0.8670240999999805,24.5,5,0.26,orientation,size,color,0.38,11.0,6,male,1,1304.1359603,0,19
