Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,2,2,3,0,4,8.966553200000021,20.0,23,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
2,2,0,3,0,4,4.616338900000073,38.0,9,0.3400000000000001,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
3,2,1,2,0,4,5.267102900000054,29.0,1,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
4,2,2,1,0,4,6.866171900000154,-38.5,14,0.30000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
5,2,3,1,0,4,0.5673355999999785,-16.0,3,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
6,1,0,1,0,2,5.558855499999936,69.5,16,0.3400000000000001,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
7,1,1,1,1,2,3.97477240000012,-2.5,4,0.14,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
8,1,1,1,1,2,1.8838976999998067,-2.5,14,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
9,1,1,1,1,2,2.383989399999791,69.5,4,0.42000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
10,1,1,1,1,2,1.3507518999999775,56.0,14,0.26,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
11,1,1,1,1,2,3.233826200000067,-2.5,6,0.4600000000000001,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
12,1,0,0,1,2,3.567245999999841,-88.0,5,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
13,1,0,0,1,2,1.9174897000000328,-83.5,3,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
14,1,1,1,1,2,10.183839600000056,2.0,3,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
15,1,0,0,1,2,2.3509090000000015,-79.0,6,0.42000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
16,1,0,0,1,2,1.2668300999998792,-43.0,0,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
17,3,3,3,1,8,6.315437900000006,-47.5,21,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
18,3,4,4,1,8,2.532870100000082,69.5,1,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
19,3,4,6,0,8,2.4822721999998976,15.5,0,0.3400000000000001,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
20,3,3,7,0,8,2.266960799999879,60.5,15,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
21,3,4,6,0,8,1.065674799999897,15.5,3,0.26,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
22,3,3,7,0,8,5.382264099999929,51.5,20,0.26,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
23,3,3,5,0,8,8.015573900000163,42.5,24,0.1,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
24,1,1,1,1,2,2.0414705000000595,-2.5,9,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
25,1,1,0,0,2,1.0826004000000466,-83.5,17,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
26,1,1,0,0,2,2.1923197000000982,-65.5,12,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
27,1,1,1,1,2,5.92517799999996,6.5,5,0.14,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
28,1,0,0,1,2,2.6339086000000407,-11.5,18,0.42000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
29,1,0,0,1,2,1.2344700000001012,-79.0,14,0.42000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
30,1,1,1,1,2,2.0675423000000137,87.5,24,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
31,1,0,0,1,2,0.8837621000000127,-29.5,13,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
32,1,1,1,1,2,0.8007078000000547,38.0,14,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
33,1,0,0,1,2,0.9507555999998658,-47.5,3,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
34,1,0,0,1,2,2.1675058999999237,-88.0,2,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
35,1,0,0,1,2,0.7667112999999972,-20.5,18,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
36,1,0,0,1,2,0.6505698999999368,-61.0,18,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
37,3,2,3,0,8,6.898915700000089,-38.5,20,0.42000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
38,3,4,3,0,8,6.4329402000000755,-88.0,21,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
39,3,3,3,1,8,12.448780500000112,-34.0,19,0.30000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
40,3,3,2,0,8,5.43309360000012,-83.5,12,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
41,3,4,1,0,8,4.648392100000137,-65.5,24,0.14,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
42,3,3,7,0,8,2.265556300000071,56.0,15,0.30000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
43,3,0,1,0,8,16.100105400000075,-70.0,23,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
44,3,2,7,0,8,13.848864899999853,15.5,15,0.3400000000000001,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
45,3,2,3,0,8,9.08157970000002,-20.5,14,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
46,3,7,1,0,8,11.648777800000062,-88.0,22,0.1,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
47,3,2,6,0,8,5.01557159999993,83.0,9,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
48,3,4,6,0,8,10.699342200000046,2.0,8,0.3400000000000001,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
49,3,4,6,0,8,15.415563999999904,69.5,9,0.26,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
50,3,7,6,0,8,1.7488777999999456,11.0,5,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
51,3,7,5,0,8,2.148283999999876,2.0,19,0.14,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
52,3,2,1,0,8,2.8658293999999387,-47.5,16,0.14,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
53,3,5,6,0,8,4.099955200000068,20.0,11,0.26,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
54,3,5,6,0,8,1.598042299999861,42.5,4,0.30000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
55,3,2,3,0,8,2.0324359999999615,-65.5,18,0.22000000000000003,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
56,3,5,6,0,8,3.166079299999865,33.5,6,0.38,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
57,3,5,6,0,8,2.5324103000000378,29.0,9,0.42000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
58,3,2,1,0,8,1.848447399999941,-65.5,22,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
59,3,1,3,0,8,7.3659317999999985,-52.0,14,0.3400000000000001,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
60,3,3,3,1,8,1.8323577999999543,-83.5,15,0.4600000000000001,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
61,3,3,2,0,8,3.417601099999956,-83.5,4,0.42000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
62,3,6,6,1,8,3.0335373999998865,2.0,3,0.26,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
63,3,3,3,1,8,1.6493639999998777,-74.5,23,0.42000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
64,3,1,1,1,8,2.0997474000000693,-20.5,16,0.14,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
65,3,1,7,0,8,8.08334630000013,87.5,15,0.30000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
66,3,2,3,0,8,2.598688599999832,-38.5,14,0.4600000000000001,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
67,3,6,4,0,8,2.4165666999999758,6.5,6,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
68,3,3,1,0,8,6.617441000000099,-20.5,14,0.18000000000000002,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
69,3,1,1,1,8,2.6662913000000117,-61.0,13,0.1,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,1,22
70,3,1,6,0,8,3.732569099999864,-7.0,5,0.42000000000000004,orientation,size,color,0.22000000000000003,-7.0,7,female,0,2712.7208285,0,22
